Altium Designer Pick and Place Locations
\02-PCB ASSY\02-01228-R5_PNP\02-01228-R5_PNP.txt

========================================================================================================================
File Design Information:

Date:       14-04-25
Time:       14:15
Revision:   Not in VersionControl
Variant:    Default Assembly
Units used: mm

Designator Comment                                             Layer       Footprint                                           Center-X(mm) Center-Y(mm) Rotation Description      
R129       Resistor                                            BottomLayer RES_C_0402                                          13.8418      41.5000      0        Resistor         
R128       Resistor                                            BottomLayer RES_C_0402                                          13.8418      40.5000      0        Resistor         
R127       Resistor                                            BottomLayer RES_C_0402                                          13.8415      39.5002      0        Resistor         
R126       Resistor                                            BottomLayer RES_C_0402                                          36.5559      8.0709       90       Resistor         
R110       Resistor                                            BottomLayer RES_C_0402                                          30.0100      30.3330      90       Resistor         
R125       Resistor                                            BottomLayer RES_C_0402                                          45.2311      26.4050      90       Resistor         
R102       Resistor                                            BottomLayer RES_C_0402                                          47.1057      26.4050      270      Resistor         
C103       "Capacitor NP"                                      BottomLayer CAP_C_0402                                          46.2497      26.4047      90       ""               
JP200      "Jumper Mechanical"                                 TopLayer    Jumper_Mechanical                                   -453.6700    -415.5700    90       ""               
JP100      "Jumper Mechanical"                                 TopLayer    Jumper_Mechanical                                   -453.6700    -415.5700    90       ""               
U205       MIC94163_1.5MM_1MM                                  BottomLayer MIC94163_1.5MM_1MM                                  25.8250      7.5636       270      ""               
R208       Resistor                                            BottomLayer RES_C_0402                                          25.0040      5.2500       90       Resistor         
R124       Resistor                                            BottomLayer RES_C_0402                                          24.2824      9.3200       270      Resistor         
J200       "CON USB2.0-C RCPT SMD RA KLS KLS1-5409"            TopLayer    CON_USB2.0-C_RCPT_SMD_RA_KLS_KLS1-5409              4.3643       12.4305      270      ""               
SW105      "SWITCH SLIDE SMD SPDT SLW-88229-2-SMT-TR"          BottomLayer SW_SLIDE_SMD_SS_SLW-88229-2-SMT-TR                  12.8370      65.9000      180      ""               
R122       Resistor                                            BottomLayer RES_C_0402                                          13.8524      60.1320      90       Resistor         
R112       Resistor                                            TopLayer    RES_C_0805                                          45.2250      14.1067      180      Resistor         
R111       Resistor                                            TopLayer    RES_C_0805                                          45.2250      16.0610      180      Resistor         
R113       Resistor                                            TopLayer    RES_C_0805                                          45.4500      34.4500      90       Resistor         
R107       Resistor                                            BottomLayer RES_C_0402                                          13.8418      43.8537      0        Resistor         
R106       Resistor                                            BottomLayer RES_C_0402                                          13.8418      44.9851      0        Resistor         
U202       "74LVC(H)1T45 SOT-23-6_SC-70-6_SOT-6_SOT-363_DSBGA" BottomLayer SOT-363                                             21.2000      9.2200       0        ""               
J103       "Header 1x2"                                        TopLayer    HDR_F_2.54_1x2_TH-PIP_RA_WCON_2185-102RSNCYNR1      50.2000      45.0000      270      ""               
U100       MTCH9010-VQFN20                                     TopLayer    VQFN-20_3X3_EP1.8x1.8_NO_VIAS                       45.0500      30.0000      180      ""               
SW200      "SWITCH SLIDE SMD SPDT SLW-88229-2-SMT-TR"          BottomLayer SW_SLIDE_SMD_SS_SLW-88229-2-SMT-TR                  19.3090      4.0930       0        ""               
SW103      "SWITCH SLIDE SMD SPDT SLW-88229-2-SMT-TR"          BottomLayer SW_SLIDE_SMD_SS_SLW-88229-2-SMT-TR                  24.2747      65.9000      180      ""               
SW104      "SWITCH SLIDE SMD SP4T"                             BottomLayer SW_SLIDE_SMD_RA_SP4T_L-KLS7-MSS-1400SD-BR           40.3057      3.7135       0        ""               
SW102      "SWITCH SLIDE SMD SPDT SLW-88229-2-SMT-TR"          BottomLayer SW_SLIDE_SMD_SS_SLW-88229-2-SMT-TR                  35.7123      65.9000      180      ""               
SW101      "SWITCH SLIDE SMD SPDT SLW-88229-2-SMT-TR"          BottomLayer SW_SLIDE_SMD_SS_SLW-88229-2-SMT-TR                  47.1500      65.9000      180      ""               
SHAFT100   PT10_SHAFT                                          BottomLayer PT10_Shaft_Mechanical                               -453.6700    -415.5700    180      ""               
R123       Resistor                                            BottomLayer RES_C_0402                                          40.7578      8.0709       90       Resistor         
R116       Resistor                                            BottomLayer RES_C_0402                                          25.2900      60.1320      90       Resistor         
R121       Resistor                                            BottomLayer RES_C_0402                                          41.8502      8.0741       270      Resistor         
R119       Resistor                                            BottomLayer RES_C_0402                                          42.9429      8.0710       270      Resistor         
R114       Resistor                                            BottomLayer RES_C_0402                                          36.7274      60.1320      90       Resistor         
R117       Resistor                                            BottomLayer RES_C_0402                                          44.0360      8.0709       90       Resistor         
R115       Resistor                                            BottomLayer RES_C_0402                                          45.1287      8.0709       90       Resistor         
R108       "Resistor Var"                                      BottomLayer RES_VAR_PIHER_PS-10V60_L10.9W10.3H5.7               30.0000      19.1033      180      "Resistor Var"   
Q101       "Transistor MOS-N GSD"                              BottomLayer X1-DFN1006-3                                        51.7389      53.4789      270      "Transistor MOS" 
Q100       "Transistor MOS-N GSD"                              BottomLayer X1-DFN1006-3                                        51.7461      58.5915      270      "Transistor MOS" 
D201       LED_green                                           TopLayer    LED_0603_Green                                      4.9778       21.2264      0        LED              
D101       LED_yellow                                          TopLayer    LED_DIA_597-6xxx_1206_RM                            56.3657      53.7875      180      LED              
R105       Resistor                                            BottomLayer RES_C_0402                                          48.1350      60.1320      90       Resistor         
